"Knowledge","Interest","Algeria","Argentina","Australia","Belgium","Bosnia.and.Herzegovina","Brazil","Cameroon","Chile","Colombia","Costa.Rica","Croatia","Ecuador","England","France","Germany","Ghana","Greece","Honduras","Iran","Italy","Ivory.Coast","Japan","Mexico","the.Netherlands","Nigeria","Portugal","Russia","South.Korea","Spain","Switzerland","United.States","Uruguay","China","India","Thailand","Turkey","Cuba","Ethiopia","Vietnam","Ireland","Gender","Age","Income","Education","Location","ID"
"Intermediate","Some",,"3","3","3",,"3","3","3","3","3",,"3","3","4","4",,"4","3","2","4","3","4","4",,,"3","3","3","4","3","4",,"4","3","3","3","3",,,"3","Female","30-44","$50,000 - $99,999","Some college or Associate degree","East North Central",3308683714
"Intermediate","Some",,,,,,,,,,,,,"4","5","5",,"3",,,"4",,"3","3",,,"3",,,"3",,"4",,"3","3",,,"3",,,"4","Female","45-60","$100,000 - $149,999","Some college or Associate degree","South Atlantic",3308682260
"Intermediate","Some",,"4",,"3",,"3",,"3","3","3",,"3","3","4","3",,"4","3",,,,"3","4",,,"4","3","3","5","4","3","3","2","3","4","3","4","4","3","3","Female","30-44","$50,000 - $99,999","Graduate degree","Middle Atlantic",3308681795
"Novice","Not much",,,"3",,,,,,,"3",,,"2","3","3",,,,,"3",,"3","4","3",,,,"3","3","3","3",,"4","1","3",,"3",,"3","4","Male","> 60",,"Bachelor degree","West South Central",3308681074
"Intermediate","Some",,,,,,,,,,,,,"3","3","3",,"3",,,"4",,"4","2","3",,,"2","3","3",,"3",,"3","3","3",,,,"2",,"Male","18-29","$50,000 - $99,999","Bachelor degree","Pacific",3308680553
"Novice","Some",,,,,,,,,,,,,"3","3",,,"4",,,"5",,"4","3",,,,,"3","3",,"3",,"4","3","4",,"2","3",,,"Male","> 60","$0 - $24,999","Some college or Associate degree","South Atlantic",3308680252
"Novice","Not much",,,,"3",,,,,"3",,,,"3","4",,,,,,,,,,,,,,,"3",,"3",,,,,,,,,,"Male","30-44",,"Graduate degree","South Atlantic",3308679861
"Advanced","Some",,"5","4","4","4","4",,"5","5","4","3","4","2","5","5",,"5","2",,"5",,"4","3","4",,"4","3","4","4","4","5","4","5","3","4","4","3",,"4","3","Female","> 60","$25,000 - $49,999","Graduate degree","East South Central",3308678746
"Novice","Some",,"3","3",,,"3",,,"3","3",,,"3","3","3",,"3",,,"5",,"3","3",,,"3",,,"3","2","5",,"3","4","3",,"3",,"2","2","Male","45-60","$150,000+","Bachelor degree","New England",3308678417
"Novice","Some",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308677766
"Novice","Some",,,"4",,,,,,,,,,"5","5","5",,"3",,,"5",,"5","5",,,,,"3","3","3","5",,"5","3","3","3",,,"3","4","Female","> 60","$150,000+","Bachelor degree","West South Central",3308676736
"Novice","Not much",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3308675814
"Advanced","A lot","4","4","3","4",,,"4",,"4","4",,,"3","4","3",,"4","4","4","5",,"3","5","4","4","4","3","3","4","3","3",,"5","4","4","5","5",,"4","2","Female","> 60",,"Bachelor degree","South Atlantic",3308675636
"Intermediate","Some",,,,,,"4",,,,,,,"4","3",,,"3",,,"5",,"4","3",,,,"4","1","4",,"5",,"4","4","4","4","3",,"4",,"Male","45-60",,"High school degree","Pacific",3308675380
"Novice","Some",,"4",,,,"3",,"4","4",,,,,,,,"3",,,"4",,"4","4","3",,"2","3","3",,"2","3","3","3","3","3",,,,"3",,"Male","18-29","$0 - $24,999","Some college or Associate degree","Middle Atlantic",3308674922
"Intermediate","Some",,,,"3",,,,,,,,,"3","5",,,"4",,,"5",,"3","5",,,,,,"4",,"5",,"5","4","5",,,"3","4",,"Male","18-29",,,"West North Central",3308673462
"Novice","Some",,,,,,,,,,,,,"3","3","3",,,,,"3",,,"3",,,,,,,"3","4",,,,,,,,,"3","Male","45-60","$100,000 - $149,999","Some college or Associate degree","West North Central",3308673383
"Novice","Not much",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3",,,,,,,,,,"Female","18-29","$150,000+","High school degree","West North Central",3308672927
"Intermediate","Some",,,,,,,,,,,,,"3","4","4",,"3",,,"4",,"3","4",,,,,,,,"4",,"3","2",,,"3",,"2","2","Male","30-44",,"Bachelor degree","West North Central",3308672564
"Novice","Some",,,"3",,,,,,,,,,"3","4","3",,"4",,,"4",,"3","4",,,,,,"3",,"4",,"4","2","4","3",,,"3","3","Male","45-60","$100,000 - $149,999","Bachelor degree","West North Central",3308671971
"Intermediate","A lot",,,,,,"4",,,,,,,"3","4","3",,"4",,,"4",,"5","4",,,,,,"4",,"4",,"4","5","5",,"3",,"4","3","Male","45-60","$100,000 - $149,999","Graduate degree","South Atlantic",3308671703
"Advanced","A lot",,,"3","3",,"3",,,"1","1",,,"3","2","3",,"4",,"2","4",,"4","1",,,,,,"2","3","4",,"3","3","3","2","2",,"3","3","Female","45-60","$50,000 - $99,999","Bachelor degree","Middle Atlantic",3308667784
"Intermediate","A lot",,"4",,"4",,"4",,"4","4","4",,"4","3","4","4","4","4","4","3","4","4","4","4","4","4","4","3","4","4","3","4","4","4","4","4","4","3",,"4","4","Female","> 60","$50,000 - $99,999","Graduate degree","East North Central",3308666905
"Intermediate","A lot",,,,,,"3",,,"3",,,,"3","4","4",,"3",,,"3",,"4","4","3",,,"3","3","3",,"2",,"3","4","3","4","3",,"3","3","Male","30-44","$0 - $24,999","Bachelor degree","East North Central",3308665124
"Novice","A lot",,,,"3",,,,,"3","3",,,"3","4","4",,"4",,"3","3",,"5","4",,,"3","3","3","4",,"3",,"5","5","4","5","4","4","3","3","Male","30-44","$25,000 - $49,999","Bachelor degree","Middle Atlantic",3308665000
"Advanced","A lot",,,"4","4",,"3",,"3",,,,,"4","4","4",,"2",,,"4",,"4","4",,,,,"4","3",,"5",,"4","2","4",,"3",,"4","4","Female","> 60","$50,000 - $99,999","High school degree","West North Central",3308664279
"Novice","Not much",,,,,,,,,,,,,,,,,"2",,,"4",,,"4",,,,,,,,"2",,"4","4","4",,,,"4",,"Male","> 60","$50,000 - $99,999","Graduate degree","Middle Atlantic",3308663506
"Advanced","A lot",,"4","3","3",,"4",,"4","3","3","3","4","2","4","2",,"5","3","3","5",,"4","4","3",,"4","3","4","4","3","3",,"4","5","5","3","4","5","4","3","Female","30-44","$50,000 - $99,999","Bachelor degree","Middle Atlantic",3308661633
"Advanced","Some","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","Female","18-29","$0 - $24,999","Less than high school degree","East South Central",3308661251
"Novice","Not much",,,"3",,,,,,,,,,,,"3",,,,,"5",,"2","4",,,,,,,,"5",,"3",,,,,,,,"Female","30-44","$25,000 - $49,999","Some college or Associate degree","East North Central",3308659892
"Novice","Some",,,,,"3",,,,,,"3",,"3","3","4",,"4",,,"4",,"3","3","3",,,,,"3",,"5",,"3","3","3",,"3",,"3","3","Female","> 60","$50,000 - $99,999","Graduate degree","Mountain",3308659392
"Intermediate","Some",,,"3",,,,,"3","3","3",,,"3","3","1",,"3","3",,"5",,"3","5","3",,"4","1","3","4","2","5","3","5","1",,,"4",,"3","3","Male","30-44","$50,000 - $99,999","Graduate degree","Middle Atlantic",3308657899
"Intermediate","A lot",,,,,,,,,,,,,"3",,"3",,"4",,,"4",,"3","3",,,,"3","3","4",,"3",,"4","4","3",,"3",,"3","3","Female","> 60","$50,000 - $99,999","High school degree","Middle Atlantic",3308657638
"Advanced","A lot",,"4","5",,,"4",,,,"3",,,"3","5","3",,"4",,,"5",,"4","4",,,"3","3",,"4","3","5",,"3","2","4",,"4",,"4","4","Male","> 60","$100,000 - $149,999","Bachelor degree","South Atlantic",3308655883
"Intermediate","Not much",,,"1",,,,,,,,,,,"3",,,,,,"4",,"1",,,,,,,,,"3",,"5",,,,,,,,"Male","30-44",,,"South Atlantic",3308655644
"Intermediate","Some",,,,,,,,,"3",,"3",,"3","3","4",,"4",,,"3",,"4","4",,,,,,"3",,"3",,"4","4","5",,"2",,"5","3","Female","18-29","$50,000 - $99,999","Bachelor degree","South Atlantic",3308655180
